raceId,season,round,raceName,raceDate,curcuitImage URL
2025_R01,2025,1,Australian Grand Prix,16-03-2025,https://i.im.ge/2025/08/21/Jvt3k9.Australia.jpeg
2025_R02,2025,2,Chinese Grand Prix,23-03-2025,https://i.im.ge/2025/08/21/JvtEqF.China.jpeg
2025_R03,2025,3,Japanese Grand Prix,06-04-2025,https://i.im.ge/2025/08/21/Jvtyxz.Japan.jpeg
2025_R04,2025,4,Bahrain Grand Prix,13-04-2025,https://i.im.ge/2025/08/21/JvtPQy.Bahrain.jpeg
2025_R05,2025,5,Saudi Arabian Grand Prix,20-04-2025,https://i.im.ge/2025/08/21/Jvt68J.Saudi-Arabia.jpeg
2025_R06,2025,6,Miami Grand Prix,04-05-2025,https://i.im.ge/2025/08/21/JvtgRh.Miami.jpeg
2025_R07,2025,7,Emilia Romagna Grand Prix,18-05-2025,https://i.im.ge/2025/08/21/JvtWLY.Italy.jpeg
2025_R08,2025,8,Monaco Grand Prix,25-05-2025,https://i.im.ge/2025/08/21/JvyQsT.Monaco.jpeg
2025_R09,2025,9,Spanish Grand Prix,01-06-2025,https://i.im.ge/2025/08/21/JvtKn4.Spain.jpeg
2025_R10,2025,10,Canadian Grand Prix,15-06-2025,https://i.im.ge/2025/08/21/Jvtktq.Canada.jpeg
2025_R11,2025,11,Austrian Grand Prix,29-06-2025,https://i.im.ge/2025/08/21/JvtpFP.Austria.jpeg
2025_R12,2025,12,British Grand Prix,06-07-2025,https://i.im.ge/2025/08/21/JvtJRf.Great-Britain.jpeg
2025_R13,2025,13,Belgian Grand Prix,27-07-2025,https://i.im.ge/2025/08/21/JvtBUr.Belgium.jpeg
2025_R14,2025,14,Hungarian Grand Prix,03-08-2025,https://i.im.ge/2025/08/21/Jvte40.Hungary.jpeg
