season,round,raceId,teamName,teamPoints,cumPoints,champPos
2025,1,2025_R01,McLaren,27,27,1
2025,1,2025_R01,Mercedes,27,27,1
2025,1,2025_R01,Red Bull Racing,18,18,2
2025,1,2025_R01,Williams,10,10,3
2025,1,2025_R01,Aston Martin,8,8,4
2025,1,2025_R01,Kick Sauber,6,6,5
2025,1,2025_R01,Ferrari,5,5,6
2025,1,2025_R01,Alpine,0,0,7
2025,1,2025_R01,Haas F1 Team,0,0,7
2025,1,2025_R01,Racing Bulls,0,0,7
2025,2,2025_R02,McLaren,78,78,1
2025,2,2025_R02,Mercedes,59,61,2
2025,2,2025_R02,Red Bull Racing,36,36,3
2025,2,2025_R02,Ferrari,17,17,4
2025,2,2025_R02,Williams,17,17,4
2025,2,2025_R02,Haas F1 Team,14,14,5
2025,2,2025_R02,Aston Martin,10,10,6
2025,2,2025_R02,Kick Sauber,6,6,7
2025,2,2025_R02,Racing Bulls,3,3,8
2025,2,2025_R02,Alpine,0,0,9
2025,3,2025_R03,McLaren,103,111,1
2025,3,2025_R03,Mercedes,68,81,2
2025,3,2025_R03,Red Bull Racing,55,64,3
2025,3,2025_R03,Ferrari,23,35,4
2025,3,2025_R03,Williams,19,19,5
2025,3,2025_R03,Haas F1 Team,15,15,6
2025,3,2025_R03,Aston Martin,10,10,7
2025,3,2025_R03,Racing Bulls,4,7,8
2025,3,2025_R03,Kick Sauber,6,6,9
2025,3,2025_R03,Alpine,0,0,10
2025,4,2025_R04,McLaren,143,151,1
2025,4,2025_R04,Mercedes,86,99,2
2025,4,2025_R04,Red Bull Racing,65,74,3
2025,4,2025_R04,Ferrari,45,57,4
2025,4,2025_R04,Haas F1 Team,20,20,5
2025,4,2025_R04,Williams,19,19,6
2025,4,2025_R04,Aston Martin,10,10,7
2025,4,2025_R04,Racing Bulls,4,7,8
2025,4,2025_R04,Alpine,6,6,9
2025,4,2025_R04,Kick Sauber,6,6,9
2025,5,2025_R05,McLaren,180,188,1
2025,5,2025_R05,Mercedes,104,117,2
2025,5,2025_R05,Red Bull Racing,83,92,3
2025,5,2025_R05,Ferrari,66,78,4
2025,5,2025_R05,Williams,25,25,5
2025,5,2025_R05,Haas F1 Team,20,20,6
2025,5,2025_R05,Aston Martin,10,10,7
2025,5,2025_R05,Racing Bulls,5,8,8
2025,5,2025_R05,Alpine,6,6,9
2025,5,2025_R05,Kick Sauber,6,6,9
2025,6,2025_R06,McLaren,238,246,1
2025,6,2025_R06,Mercedes,136,151,2
2025,6,2025_R06,Red Bull Racing,99,108,3
2025,6,2025_R06,Ferrari,82,94,4
2025,6,2025_R06,Williams,37,37,5
2025,6,2025_R06,Haas F1 Team,20,20,6
2025,6,2025_R06,Aston Martin,14,14,7
2025,6,2025_R06,Racing Bulls,8,14,7
2025,6,2025_R06,Alpine,7,7,8
2025,6,2025_R06,Kick Sauber,6,6,9
2025,7,2025_R07,McLaren,256,279,1
2025,7,2025_R07,Mercedes,133,159,2
2025,7,2025_R07,Red Bull Racing,122,137,3
2025,7,2025_R07,Ferrari,96,114,4
2025,7,2025_R07,Williams,51,51,5
2025,7,2025_R07,Haas F1 Team,20,20,6
2025,7,2025_R07,Racing Bulls,7,16,7
2025,7,2025_R07,Aston Martin,10,14,8
2025,7,2025_R07,Alpine,6,7,9
2025,7,2025_R07,Kick Sauber,6,6,10
2025,8,2025_R08,McLaren,296,319,1
2025,8,2025_R08,Mercedes,133,159,2
2025,8,2025_R08,Red Bull Racing,134,149,3
2025,8,2025_R08,Ferrari,124,142,4
2025,8,2025_R08,Williams,54,54,5
2025,8,2025_R08,Racing Bulls,19,28,6
2025,8,2025_R08,Haas F1 Team,26,26,7
2025,8,2025_R08,Aston Martin,10,14,8
2025,8,2025_R08,Alpine,6,7,9
2025,8,2025_R08,Kick Sauber,6,6,10
2025,9,2025_R09,McLaren,339,362,1
2025,9,2025_R09,Mercedes,145,171,2
2025,9,2025_R09,Ferrari,147,165,3
2025,9,2025_R09,Red Bull Racing,135,150,4
2025,9,2025_R09,Williams,54,54,5
2025,9,2025_R09,Racing Bulls,25,34,6
2025,9,2025_R09,Haas F1 Team,26,26,7
2025,9,2025_R09,Aston Martin,12,16,8
2025,9,2025_R09,Kick Sauber,16,16,8
2025,9,2025_R09,Alpine,10,11,9
2025,10,2025_R10,McLaren,351,374,1
2025,10,2025_R10,Mercedes,185,211,2
2025,10,2025_R10,Ferrari,165,183,3
2025,10,2025_R10,Red Bull Racing,153,168,4
2025,10,2025_R10,Williams,55,55,5
2025,10,2025_R10,Racing Bulls,25,34,6
2025,10,2025_R10,Haas F1 Team,28,28,7
2025,10,2025_R10,Aston Martin,18,22,8
2025,10,2025_R10,Kick Sauber,20,20,9
2025,10,2025_R10,Alpine,10,11,10
2025,11,2025_R11,McLaren,394,417,1
2025,11,2025_R11,Mercedes,195,221,2
2025,11,2025_R11,Ferrari,192,210,3
2025,11,2025_R11,Red Bull Racing,153,168,4
2025,11,2025_R11,Williams,55,55,5
2025,11,2025_R11,Racing Bulls,33,42,6
2025,11,2025_R11,Haas F1 Team,29,29,7
2025,11,2025_R11,Aston Martin,24,28,8
2025,11,2025_R11,Kick Sauber,26,26,9
2025,11,2025_R11,Alpine,10,11,10
2025,12,2025_R12,McLaren,437,460,1
2025,12,2025_R12,Ferrari,204,222,2
2025,12,2025_R12,Mercedes,196,222,2
2025,12,2025_R12,Red Bull Racing,163,178,3
2025,12,2025_R12,Williams,59,59,4
2025,12,2025_R12,Racing Bulls,33,42,5
2025,12,2025_R12,Kick Sauber,41,41,6
2025,12,2025_R12,Aston Martin,32,36,7
2025,12,2025_R12,Haas F1 Team,29,29,8
2025,12,2025_R12,Alpine,18,19,9
2025,13,2025_R13,McLaren,493,516,1
2025,13,2025_R13,Ferrari,230,248,2
2025,13,2025_R13,Mercedes,206,232,3
2025,13,2025_R13,Red Bull Racing,183,198,4
2025,13,2025_R13,Williams,70,70,5
2025,13,2025_R13,Racing Bulls,38,47,6
2025,13,2025_R13,Kick Sauber,43,43,7
2025,13,2025_R13,Aston Martin,32,36,8
2025,13,2025_R13,Haas F1 Team,35,35,9
2025,13,2025_R13,Alpine,19,20,10
2025,14,2025_R14,McLaren,523,559,1
2025,14,2025_R14,Ferrari,237,260,2
2025,14,2025_R14,Mercedes,222,248,3
2025,14,2025_R14,Red Bull Racing,177,200,4
2025,14,2025_R14,Williams,67,70,5
2025,14,2025_R14,Aston Martin,48,52,6
2025,14,2025_R14,Kick Sauber,51,51,7
2025,14,2025_R14,Racing Bulls,41,51,8
2025,14,2025_R14,Haas F1 Team,29,35,9
2025,14,2025_R14,Alpine,19,20,10
